FunctionName,RelativePath,CountLineCode,CountPath,Cyclomatic,MaxNesting,Knots,CountInput,CountOutput
panel_select_all,,13,3,3,2,0,7,4
xstack_end,,10,3,3,1,1,3,1
xstack_point,,6,1,1,0,0,2,1
xstack_pop,,13,2,2,1,1,6,6
xstack_truncate,,8,1,1,0,0,5,4
service_pending_signals,,27,4,4,1,3,10,9
signals,,8,2,2,1,0,6,2
add_history,,44,8,8,3,4,10,12
append_history,,7,1,1,0,0,2,2
current_history,,8,2,2,1,1,4,1
history_arg_extract,,45,449,13,3,2,4,7
history_get,,11,2,2,1,1,5,1
history_get_history_state,,11,1,1,0,0,4,6
history_list,,5,1,1,0,0,1,1
history_search,,7,1,1,0,0,3,2
history_search_pos,,16,2,2,1,1,3,4
history_set_history_state,,9,1,1,0,0,5,4
history_set_pos,,9,2,2,1,1,5,2
history_tokenize,,83,4755,25,4,15,3,6
history_total_bytes,,9,2,2,1,0,2,2
next_history,,8,2,2,1,1,5,2
previous_history,,8,2,2,1,1,3,2
read_history,,6,1,1,0,0,2,2
read_history_range,,57,496,17,4,9,5,10
remove_history,,17,3,3,2,1,3,3
replace_history_entry,,16,2,3,1,1,5,8
stifle_history,,23,10,5,2,0,5,6
unstifle_history,,11,2,2,1,0,2,2
using_history,,5,1,1,0,0,2,1
where_history,,5,1,1,0,0,3,1
write_history,,6,1,1,0,0,3,2
tilde_expand_word,,71,16,19,4,4,4,12
access,,,,,,,,
fatal,,7,1,1,0,0,10,1
find,,29,5,5,2,0,3,7
main,,12,3,3,2,3,2,4
kill,,,,,,,,
strstr,,,,,,,,
nanosleep,,,,,,,,
dup,,,,,,,,
build_ps_list,,13,2,2,1,0,3,5
clean_up,,7,1,1,0,0,2,3
clock_refresh,,4,1,1,0,0,1,0
fatal,,8,1,1,0,0,13,3
free_ps_list,,10,2,2,1,0,3,2
get_PID_index,,20,9,7,2,4,3,5
hide,,7,1,1,0,0,3,3
kill_process,,30,40,9,2,1,8,6
main,,345,444496,101,5,1413,32,79
ps,,73,96,17,2,3,9,17
read_keys,,46,145,12,4,13,5,9
read_ps_line,,18,4,4,2,2,4,5
refresh,,25,8,5,1,0,9,12
report_undefined_key,,26,2,4,1,1,4,17
resize,,35,25,13,2,3,15,9
set_header,,10,1,2,0,0,6,7
set_signal,,21,8,5,3,2,11,5
set_status,,20,4,5,1,2,11,8
set_title,,10,1,2,0,0,6,7
system,,,,,,,,
update_all,,24,7,5,2,2,11,6
update_process,,35,6,8,2,2,14,12
usage,,11,1,1,0,0,2,1
close,,,,,,,,
file_length,,10,1,1,0,0,2,2
main,,14,4,3,1,0,2,6
rand,,,,,,,,
srand,,,,,,,,
sync,,,,,,,,
usage,,6,1,1,0,0,3,2
wipe,,38,8,8,2,6,4,9
write,,,,,,,,
char_to_print,,10,2,3,1,1,4,2
clean_up,,5,1,1,0,0,2,1
clock_refresh,,4,1,1,0,0,1,0
cursor_update,,8,2,2,1,1,7,2
fatal,,8,1,1,0,0,13,3
file_length,,11,2,2,1,1,4,2
hide,,7,1,1,0,0,3,3
main,,249,39232,77,5,155,30,64
read_keys,,46,145,12,4,13,5,9
refresh,,49,96,10,2,3,18,17
report_undefined_key,,26,2,4,1,1,4,17
resize,,29,17,9,2,2,13,6
set_header,,10,1,2,0,0,6,7
set_status,,9,1,2,0,0,8,7
set_title,,10,1,2,0,0,6,7
update_all,,11,2,2,1,0,6,3
update_line,,41,6,6,1,2,5,10
usage,,10,1,1,0,0,2,1
__builtin___strncpy_chk,,,,,,,,
get_history_event,,81,178,23,4,13,10,11
get_history_word_specifier,,71,120,23,3,13,6,7
get_subst_pattern,,30,42,8,3,0,6,4
hist_error,,38,5,7,1,10,5,5
history_do_write,,38,18,9,2,1,8,11
history_expand_internal,,210,11640,47,5,69,11,21
history_filename,,20,3,7,2,0,4,6
history_search_internal,,67,191,19,4,25,10,4
history_search_prefix,,7,1,1,0,0,2,2
history_truncate_file,,40,144,9,2,4,3,9
postproc_subst_rhs,,29,7,7,3,1,5,7
isalnum,,,,,,,,
il_compute_scroll,,5,1,2,0,0,5,1
il_hide_static,,11,1,1,0,0,4,7
